iter	Passed	Remaining
922	19052	187364
923	19072	187335
924	19089	187281
925	19106	187227
926	19126	187198
927	19149	187198
928	19173	187216
929	19190	187158
930	19211	187138
931	19212	186930
932	19230	186888
933	19247	186832
934	19264	186774
935	19283	186735
936	19288	186562
937	19293	186393
938	19311	186350
939	19328	186297
940	19345	186241
941	19363	186196
942	19381	186151
943	19399	186107
944	19416	186053
945	19436	186018
946	19452	185961
947	19469	185902
948	19486	185855
949	19509	185850
950	19518	185721
951	19538	185699
952	19556	185649
953	19573	185599
954	19590	185545
955	19608	185499
956	19628	185472
957	19651	185478
958	19677	185508
959	19679	185314
960	19700	185303
961	19718	185257
962	19735	185206
963	19756	185190
964	19774	185145
965	19794	185118
966	19812	185073
967	19817	184913
968	19823	184757
969	19842	184716
970	19862	184691
971	19885	184695
972	19911	184728
973	19939	184778
974	19940	184580
975	19966	184608
976	19992	184641
977	20016	184651
978	20041	184673
979	20067	184698
980	20068	184504
981	20097	184559
982	20122	184580
983	20148	184612
984	20175	184655
985	20200	184676
986	20226	184698
987	20248	184694
988	20267	184659
989	20284	184613
990	20302	184566
991	20320	184527
992	20330	184407
993	20348	184360
994	20364	184306
995	20381	184255
996	20401	184226
997	20419	184180
998	20436	184130
999	20453	184080
1000	20471	184040
1001	20472	183846
1002	20491	183811
1003	20513	183800
1004	20534	183791
1005	20557	183789
1006	20579	183781
1007	20600	183767
1008	20623	183772
1009	20648	183795
1010	20671	183796
1011	20692	183782
1012	20714	183770
1013	20735	183757
1014	20756	183742
1015	20778	183735
1016	20798	183706
1017	20816	183670
1018	20836	183642
1019	20856	183616
1020	20878	183609
1021	20896	183567
1022	20918	183560
1023	20921	183387
1024	20924	183215
1025	20941	183165
1026	20964	183171
1027	20987	183170
1028	21014	183207
1029	21039	183225
1030	21039	183033
1031	21060	183018
1032	21082	183009
1033	21103	182989
1034	21125	182989
1035	21144	182951
1036	21165	182940
1037	21187	182931
1038	21210	182936
1039	21233	182930
1040	21260	182973
1041	21281	182957
1042	21303	182951
1043	21328	182963
1044	21353	182983
1045	21375	182976
1046	21399	182989
1047	21418	182959
1048	21444	182985
1049	21471	183015
1050	21494	183017
1051	21518	183026
1052	21529	182931
1053	21549	182907
1054	21559	182794
1055	21576	182748
1056	21598	182739
1057	21621	182741
1058	21627	182594
1059	21677	182825
1060	21711	182918
1061	21739	182962
1062	21763	182972
1063	21784	182957
1064	21804	182930
1065	21820	182875
1066	21838	182836
1067	21857	182799
1068	21882	182816
1069	21889	182687
1070	21913	182693
1071	21938	182709
1072	21958	182687
1073	21982	182699
1074	22007	182709
1075	22031	182724
1076	22050	182689
1077	22068	182652
1078	22087	182611
1079	22109	182607
1080	22136	182638
1081	22157	182625
1082	22176	182590
1083	22193	182539
1084	22210	182493
1085	22227	182442
1086	22244	182394
1087	22262	182353
1088	22280	182311
1089	22297	182264
1090	22317	182245
1091	22345	182280
1092	22370	182300
1093	22378	182181
1094	22403	182191
1095	22420	182146
1096	22437	182095
1097	22454	182048
1098	22473	182020
1099	22492	181982
1100	22509	181935
1101	22519	181829
1102	22538	181798
1103	22539	181621
1104	22556	181572
1105	22574	181534
1106	22591	181490
1107	22610	181453
1108	22627	181403
1109	22644	181363
1110	22650	181225
1111	22667	181178
1112	22684	181133
1113	22702	181091
1114	22719	181042
1115	22729	180938
1116	22745	180883
1117	22762	180837
1118	22763	180663
1119	22780	180617
1120	22796	180561
1121	22813	180514
1122	22829	180463
1123	22846	180416
1124	22863	180368
1125	22868	180222
1126	22886	180188
1127	22906	180166
1128	22924	180125
1129	22942	180092
1130	22953	179992
1131	22970	179951
1132	22988	179910
1133	23005	179865
1134	23024	179832
1135	23041	179787
1136	23058	179743
1137	23078	179717
1138	23095	179676
1139	23114	179642
1140	23131	179599
1141	23150	179564
1142	23168	179528
1143	23184	179481
1144	23201	179432
1145	23219	179390
1146	23237	179356
1147	23255	179322
1148	23273	179277
1149	23295	179274
1150	23317	179268
1151	23340	179269
1152	23361	179256
1153	23383	179245
1154	23405	179240
1155	23424	179210
1156	23445	179198
1157	23448	179045
1158	23449	178878
1159	23469	178853
1160	23487	178814
1161	23496	178712
1162	23513	178667
1163	23533	178644
1164	23552	178616
1165	23570	178579
1166	23592	178573
1167	23595	178421
1168	23615	178400
1169	23638	178397
1170	23659	178383
1171	23668	178277
1172	23696	178318
1173	23702	178194
1174	23732	178246
1175	23758	178268
1176	23780	178264
1177	23844	178570
1178	23885	178708
1179	23913	178744
1180	23935	178733
1181	23953	178697
1182	23972	178668
1183	23988	178618
1184	24005	178576
1185	24025	178552
1186	24044	178518
1187	24063	178493
1188	24083	178470
1189	24105	178459
1190	24127	178451
1191	24152	178469
1192	24175	178470
1193	24177	178315
1194	24198	178296
1195	24220	178294
1196	24241	178279
